#v,len,time(s)
2,7,0.0003251669995734119
4,11,0.0001970410003195866
6,15,0.0002727920000324957
8,19,0.0002917910005635349
10,21,0.0003468750001047738
12,23,0.0003642920000856975
14,24,0.0003943330002584844
16,33,0.0005185410000194679
18,31,0.0005518750003830064
20,29,0.0004672499999287538
