#v,len,time(s)
2,8,0.0007903750001787557
4,10,0.00017370899968227604
6,16,0.00030333299946505576
8,17,0.00030175000028975774
10,18,0.0002252080003017909
12,22,0.00025320799977635033
14,20,0.00023245800002769101
16,26,0.0003226669996365672
18,27,0.00031491600020672195
20,25,0.00030620799952885136
